activity_date,customerid,transaction_method,transaction_type, transaction_amount
4/19/2024,4206,MOBILE BANKING,TRANSFER,"  50,000,000 "
4/19/2024,4206,MOBILE BANKING,TRANSFER,"  70,000,000 "
4/19/2024,4266,MOBILE BANKING,TRANSFER,"  15,013 "
4/19/2024,4266,MOBILE BANKING,TRANSFER,"  11,590 "
4/19/2024,9716,MOBILE BANKING,TRANSFER,"  930,000 "
4/19/2024,3161,MOBILE BANKING,TRANSFER,"  37,000 "
4/19/2024,1310,VELOCITY,OTHER VELO TRX,"  100,000 "
4/19/2024,246,VELOCITY,OTHER VELO TRX,"  300,000 "
4/19/2024,3569,VELOCITY,PAYMENT,"  34,252,555 "
4/19/2024,3569,VELOCITY,PAYMENT,"  89,793,850 "
4/19/2024,8779,VELOCITY,OTHER VELO TRX,"  3,000,000 "
4/19/2024,3569,VELOCITY,PAYMENT,"  74,098,324 "
4/19/2024,4277,VELOCITY,TRANSFER,"  20,902,553 "
4/19/2024,3569,VELOCITY,PAYMENT,"  137,512,863 "
4/19/2024,2022,VELOCITY,OTHER VELO TRX,"  2,500,000 "
4/19/2024,3569,VELOCITY,PAYMENT,"  297,301,779 "
4/19/2024,4900,VELOCITY,OTHER VELO TRX,"  2,500,000 "
4/19/2024,7023,VELOCITY,OTHER VELO TRX,"  100,000,000 "
4/19/2024,280,VELOCITY,OTHER VELO TRX,"  1,535,000 "
4/19/2024,1892,VELOCITY,OTHER VELO TRX,"  15,000 "
4/19/2024,6217,VELOCITY,OTHER VELO TRX,"  800,000 "
4/19/2024,4426,VELOCITY,OTHER VELO TRX,"  600,000 "
4/19/2024,2168,VELOCITY,OTHER VELO TRX,"  300,000 "
4/19/2024,2306,VELOCITY,OTHER VELO TRX,"  2,500,000 "
4/19/2024,1365,VELOCITY,OTHER VELO TRX,"  21,000 "
4/19/2024,8797,VELOCITY,OTHER VELO TRX,"  440,000 "
4/19/2024,2464,VELOCITY,OTHER VELO TRX,"  250,000,000 "
4/19/2024,7027,VELOCITY,OTHER VELO TRX,"  393,000 "
4/19/2024,377,VELOCITY,OTHER VELO TRX,"  5,000,000 "
4/19/2024,1223,VELOCITY,OTHER VELO TRX,"  1,000,000 "
4/19/2024,7550,VELOCITY,OTHER VELO TRX,"  150,000 "
4/19/2024,2168,VELOCITY,OTHER VELO TRX,"  1,500,000 "
4/19/2024,6604,VELOCITY,OTHER VELO TRX,"  3,734,000 "
4/19/2024,7969,VELOCITY,OTHER VELO TRX,"  70,000 "
4/19/2024,1047,VELOCITY,OTHER VELO TRX,"  500,000 "
4/19/2024,5725,VELOCITY,OTHER VELO TRX,"  20,000 "
4/19/2024,377,VELOCITY,OTHER VELO TRX,"  549,000 "
4/19/2024,6386,VELOCITY,OTHER VELO TRX,"  73,000,000 "
4/19/2024,3569,VELOCITY,OTHER VELO TRX,"  50,000 "
4/19/2024,280,VELOCITY,OTHER VELO TRX,"  500,000 "
4/19/2024,7772,CREDIT CARD,INSTALMENT,"  2,300,334 "
4/18/2024,6217,CREDIT CARD,RETAIL TRANSACTION,"  205,410 "
4/18/2024,6217,CREDIT CARD,RETAIL TRANSACTION,"  35,000 "
4/18/2024,6217,CREDIT CARD,RETAIL TRANSACTION,"  235,000 "
4/17/2024,4857,CREDIT CARD,OTHERS,"- 1,780,800 "
4/19/2024,4857,CREDIT CARD,OTHERS,"- 1,780,800 "
4/19/2024,4857,CREDIT CARD,OTHERS,"  1,780,800 "
4/18/2024,2271,CREDIT CARD,RETAIL TRANSACTION,"  5,000 "
4/18/2024,2271,CREDIT CARD,RETAIL TRANSACTION,"  518,000 "
4/14/2024,9410,CREDIT CARD,OTHERS,- 82 
4/18/2024,9410,CREDIT CARD,RETAIL TRANSACTION,  8 
4/18/2024,9410,CREDIT CARD,RETAIL TRANSACTION,  5 
4/18/2024,480,CREDIT CARD,RETAIL TRANSACTION,"  160,000 "
4/18/2024,480,CREDIT CARD,RETAIL TRANSACTION,"  108,000 "
4/18/2024,480,CREDIT CARD,RETAIL TRANSACTION,"  343,750 "
4/19/2024,5232,QRIS,PAYMENT,"  69,300 "
4/19/2024,9227,QRIS,PAYMENT,"  735,000 "
4/20/2024,600,QRIS,PAYMENT,"  30,500 "
4/19/2024,188,QRIS,PAYMENT,"  99,802 "
4/20/2024,1104,QRIS,PAYMENT,"  22,000 "
4/19/2024,2168,QRIS,PAYMENT,"  91,000 "
4/19/2024,2168,QRIS,PAYMENT,"  12,000 "
4/20/2024,1547,QRIS,PAYMENT,"  80,000 "
4/20/2024,1547,QRIS,PAYMENT,"  70,000 "
4/20/2024,268,QRIS,PAYMENT,"  24,000 "
4/20/2024,2146,QRIS,PAYMENT,"  113,300 "
4/3/2024,7669,BRANCH,BIAYA,"  10,000 "
4/3/2024,5225,BRANCH,TRANSFER,"  3,844,521 "
4/3/2024,2497,BRANCH,BIAYA,"  10,000 "
4/3/2024,2846,BRANCH,BIAYA,"  5,000 "
4/3/2024,844,BRANCH,BIAYA,"  150,000 "
4/3/2024,4900,BRANCH,BIAYA,"  1,000 "
4/3/2024,8097,BRANCH,SETOR TUNAI,"  35,000,000 "
4/3/2024,2022,BRANCH,BIAYA,"  10,000 "
4/3/2024,2271,BRANCH,BIAYA,"  10,000 "
4/3/2024,8304,BRANCH,BIAYA,"  5,000 "
4/3/2024,5203,BRANCH,BIAYA,"  10,000 "
4/3/2024,9410,BRANCH,TRANSFER,"  3,099,600 "
4/3/2024,7669,BRANCH,PAYMENT,"  371,800,632 "
4/3/2024,2146,MERCHANT,PAYMENT,"  64,499 "
4/3/2024,7023,BRANCH,TRANSFER,"  13,250,000 "
4/3/2024,6133,BRANCH,BIAYA,"  5,000 "
4/3/2024,8797,BRANCH,BIAYA,"  150,000 "
4/3/2024,1047,MERCHANT,PAYMENT,"  3,000 "
4/3/2024,5027,BRANCH,BIAYA,"  1,000 "
4/3/2024,4288,BRANCH,TRANSFER,"  875,000 "
4/3/2024,6604,BRANCH,BIAYA,"  10,000 "
4/3/2024,2759,VELOCITY,BIAYA,"  2,000 "
4/3/2024,1892,VELOCITY,OTHER VELO TRX,"  10,000 "
4/3/2024,377,VELOCITY,OTHER VELO TRX,"  748,994 "
4/3/2024,1041,VELOCITY,OTHER VELO TRX,"  50,000 "
4/3/2024,5232,VELOCITY,OTHER VELO TRX,"  300,000 "
4/3/2024,3183,VELOCITY,OTHER VELO TRX,"  1,100,000 "
4/3/2024,6604,VELOCITY,OTHER VELO TRX,"  5,195,000 "
4/3/2024,8644,VELOCITY,OTHER VELO TRX,"  999,000 "
4/3/2024,4426,VELOCITY,OTHER VELO TRX,"  1,032,000 "
4/3/2024,7170,VELOCITY,OTHER VELO TRX,"  100,000 "
4/3/2024,2271,VELOCITY,OTHER VELO TRX,"  1,213,121 "
4/3/2024,1547,VELOCITY,OTHER VELO TRX,"  500,000 "
4/3/2024,8797,VELOCITY,OTHER VELO TRX,"  820,000 "
4/3/2024,1041,VELOCITY,OTHER VELO TRX,"  5,000,000 "
4/3/2024,2846,VELOCITY,OTHER VELO TRX,"  3,365,000 "
4/3/2024,2960,VELOCITY,OTHER VELO TRX,"  200,000 "
4/3/2024,1310,VELOCITY,OTHER VELO TRX,"  550,000 "
4/3/2024,7969,VELOCITY,OTHER VELO TRX,"  2,000,000 "
4/3/2024,6911,VELOCITY,OTHER VELO TRX,"  650,000 "
4/3/2024,1892,VELOCITY,OTHER VELO TRX,"  20,000 "
4/3/2024,2306,VELOCITY,OTHER VELO TRX,"  5,000,000 "
4/3/2024,4206,VELOCITY,OTHER VELO TRX,"  500,000 "
4/3/2024,7023,VELOCITY,OTHER VELO TRX,"  13,250,000 "
4/3/2024,8304,VELOCITY,OTHER VELO TRX,"  300,000 "
4/3/2024,3694,VELOCITY,OTHER VELO TRX,"  2,000,000 "
4/3/2024,76,VELOCITY,TRANSFER,"  1,823,667 "
4/3/2024,5725,VELOCITY,OTHER VELO TRX,"  100,000 "
4/3/2024,1784,VELOCITY,OTHER VELO TRX,"  4,060,000 "
4/3/2024,7969,VELOCITY,OTHER VELO TRX,"  20,000 "
4/3/2024,9216,VELOCITY,OTHER VELO TRX,"  69,889 "
4/3/2024,6513,VELOCITY,OTHER VELO TRX,"  1,000,000 "
4/3/2024,1310,VELOCITY,OTHER VELO TRX,"  60,000 "
4/3/2024,7550,VELOCITY,OTHER VELO TRX,"  470,000 "
4/3/2024,76,VELOCITY,OTHER VELO TRX,"  2,000,000 "
4/3/2024,3974,VELOCITY,OTHER VELO TRX,"  42,000 "
4/3/2024,4799,VELOCITY,OTHER VELO TRX,"  25,000 "
4/3/2024,5725,VELOCITY,OTHER VELO TRX,"  300,000 "
4/3/2024,2759,VELOCITY,OTHER VELO TRX,"  150,000 "
4/3/2024,305,VELOCITY,OTHER VELO TRX,"  4,400,000 "
4/3/2024,3694,VELOCITY,OTHER VELO TRX,"  7,810,000 "
4/3/2024,377,VELOCITY,OTHER VELO TRX,"  10,000,000 "
4/3/2024,3010,VELOCITY,OTHER VELO TRX,"  450,000 "
4/3/2024,5952,VELOCITY,OTHER VELO TRX,"  120,000 "
4/3/2024,65,VELOCITY,OTHER VELO TRX,"  500,000 "
4/3/2024,7772,VELOCITY,OTHER VELO TRX,"  521,044 "
4/3/2024,4857,VELOCITY,OTHER VELO TRX,"  200,000 "
4/3/2024,188,VELOCITY,OTHER VELO TRX,"  200,000 "
4/3/2024,7669,VELOCITY,OTHER VELO TRX,"  32,000,000 "
4/3/2024,2168,VELOCITY,OTHER VELO TRX,"  4,000,000 "
4/3/2024,7170,VELOCITY,OTHER VELO TRX,"  5,000,000 "
4/3/2024,5232,VELOCITY,OTHER VELO TRX,"  3,400,000 "
4/3/2024,76,VELOCITY,OTHER VELO TRX,"  1,000,000 "
12/14/2020,5027,BANCA,NON DIGITAL,"  100,000,000 "
1/21/2021,5027,BANCA,NON DIGITAL,"  50,000,000 "
8/14/2019,6513,BANCA,NON DIGITAL,"  25,000,000 "
12/30/2021,2846,BANCA,NON DIGITAL,"  15,000,000 "
11/24/2021,1547,BANCA,NON DIGITAL,"  30,000,000 "
11/3/2021,2846,BANCA,NON DIGITAL,"  200,000,000 "
8/26/2016,3974,BANCA,NON DIGITAL,"  500,000,000 "
8/10/2020,3025,BANCA,NON DIGITAL,"  100,000,000 "
3/23/2016,9410,BANCA,NON DIGITAL,"  100,000,000 "
10/18/2022,3025,BANCA,NON DIGITAL,"  200,000,000 "
4/11/2012,5312,BANCA,NON DIGITAL,"  3,441,000 "
6/29/2022,3172,BANCA,NON DIGITAL,"  22,500 "
8/5/2022,786,BANCA,NON DIGITAL,"  10,000 "
6/13/2023,7170,BANCA,NON DIGITAL,"  35,000 "
4/28/2023,2146,BANCA,NON DIGITAL,"  10,000 "
6/9/2022,5232,BANCA,NON DIGITAL,"  10,000 "
9/27/2023,1310,BANCA,NON DIGITAL,"  50,000 "
4/6/2023,3974,BANCA,NON DIGITAL,"  10,000 "
8/31/2022,7772,BANCA,NON DIGITAL,"  10,000 "
9/9/2022,8304,BANCA,NON DIGITAL,"  10,000 "
7/31/2023,775,BANCA,NON DIGITAL,"  80,000 "
1/17/2023,5027,BANCA,NON DIGITAL,"  10,000 "
4/27/2017,4799,BANCA,NON DIGITAL,"  200,000 "
4/4/2018,1365,BANCA,NON DIGITAL,"  100,000 "
9/16/2016,1104,BANCA,NON DIGITAL,"  20,000 "
2/28/2014,7163,BANCA,NON DIGITAL,"  500,000 "
4/13/2012,3694,BANCA,NON DIGITAL,"  100,000,000 "
8/20/2018,7969,BANCA,NON DIGITAL,"  100,000 "
9/10/2020,2237,BANCA,NON DIGITAL,"  1,250,000 "
8/4/2011,5232,BANCA,NON DIGITAL,"  100,000,000 "
6/27/2019,5232,BANCA,NON DIGITAL,"  10,000,000 "
6/28/2016,9216,BANCA,NON DIGITAL,"  100,000,000 "
10/25/2013,4206,BANCA,NON DIGITAL,"  25,000,000 "
4/28/2017,5849,BANCA,NON DIGITAL,"  50,000,000 "
12/21/2017,775,BANCA,NON DIGITAL,"  1,500,000,000 "
6/30/2022,775,BANCA,NON DIGITAL,"  500,000,000 "
8/31/2022,775,BANCA,NON DIGITAL,"  5,000,000,000 "
5/30/2012,1784,BANCA,NON DIGITAL,"  26,000,000 "
5/25/2012,1784,BANCA,NON DIGITAL,"  26,000,000 "
8/9/2011,3010,BANCA,NON DIGITAL,"  40,000,000 "
1/26/2018,4277,BANCA,NON DIGITAL,"  250,000,000 "
10/25/2017,837,BANCA,NON DIGITAL,"  15,000,000 "
6/30/2011,5203,BANCA,NON DIGITAL,"  12,000,000 "
9/23/2014,5725,BANCA,NON DIGITAL,"  10,000,000 "
7/15/2013,3025,BANCA,NON DIGITAL,"  50,000,000 "
8/26/2022,6326,BANCA,NON DIGITAL,"  2,000,000,000 "
12/12/2013,779,BANCA,NON DIGITAL,"  250,000 "
1/29/2018,1795,BANCA,NON DIGITAL,"  100,000,000 "
9/30/2015,3105,BANCA,NON DIGITAL,"  125,000,000 "
8/25/2023,6386,BANCA,NON DIGITAL,"  500,000,000 "
6/18/2021,65,BANCA,NON DIGITAL,"  150,000,000 "
10/13/2017,9716,BANCA,NON DIGITAL,"  100,000 "
5/30/2012,305,BANCA,NON DIGITAL,"  102,304 "
4/27/2018,9216,BANCA,NON DIGITAL,"  40,000,000 "
4/27/2011,6513,BANCA,NON DIGITAL,"  275,000,000 "
1/20/2022,3105,BANCA,NON DIGITAL,"  110,000,000 "
9/5/2023,3172,BANCA,NON DIGITAL,"  4,500,000,000 "
6/20/2023,7772,BANCA,NON DIGITAL,"  200,000,000 "
1/28/2016,9227,BANCA,NON DIGITAL,"  2,000,000,000 "
3/30/2011,1047,BANCA,NON DIGITAL,"  50,000,000 "
8/8/2023,3985,BANCA,NON DIGITAL,"  50,000,000 "
3/7/2024,3985,BANCA,NON DIGITAL,"  50,000,000 "
5/29/2012,8779,BANCA,NON DIGITAL,"  10,000,000 "
1/17/2014,9216,BANCA,NON DIGITAL,"  105,000,000 "
12/19/2017,2960,BANCA,NON DIGITAL,"  50,000 "
11/30/2021,786,BANCA,NON DIGITAL,"  70,000 "
7/20/2018,6513,BANCA,NON DIGITAL,"  80,000,000 "
5/29/2019,6217,BANCA,NON DIGITAL,"  100,000,000 "
9/26/2012,775,BANCA,NON DIGITAL,"  50,000,000 "
7/21/2011,7050,BANCA,NON DIGITAL,"  10,000 "
4/30/2019,9216,BANCA,NON DIGITAL,"  100,000,000 "
10/16/2020,359,BANCA,NON DIGITAL,"  100,000,000 "
11/16/2016,775,BANCA,NON DIGITAL,"  50,000,000 "
12/16/2014,6604,BANCA,NON DIGITAL,"  100,000,000 "
1/11/2023,4266,BANCA,NON DIGITAL,"  15,000,000 "
10/30/2023,480,BANCA,NON DIGITAL,"  100,000,000 "
11/16/2022,3694,BANCA,NON DIGITAL,"  400,000,000 "
12/14/2022,8304,BANCA,NON DIGITAL,"  1,250,000 "
4/12/2018,5952,BANCA,NON DIGITAL,"  100,000,000 "
4/14/2024,3183,DEBIT CARD,PAYMENT,"  119,025 "
4/14/2024,3183,DEBIT CARD,PAYMENT,"  264,500 "
4/14/2024,3183,DEBIT CARD,PAYMENT,"  167,000 "
4/15/2024,3183,DEBIT CARD,PAYMENT,"  55,000 "
4/15/2024,3183,DEBIT CARD,PAYMENT,"  63,860 "
4/15/2024,3183,DEBIT CARD,PAYMENT,"  110,000 "
4/15/2024,3183,DEBIT CARD,PAYMENT,"  193,600 "
4/15/2024,3183,DEBIT CARD,PAYMENT,"  100,000 "
4/15/2024,5232,DEBIT CARD,PAYMENT,"  547,900 "
4/14/2024,3569,DEBIT CARD,PAYMENT,"  55,000 "
4/15/2024,8304,DEBIT CARD,PAYMENT,"  96,000 "
4/14/2024,6133,DEBIT CARD,PAYMENT,"  137,000 "
4/3/2024,6604,ATM,WITHDRAWAL,"  600,000 "
4/3/2024,5027,ATM,WITHDRAWAL,"  500,000 "
4/3/2024,3974,ATM,WITHDRAWAL,"  100,000 "
4/3/2024,5952,ATM,WITHDRAWAL,"  300,000 "
4/3/2024,9410,ATM,WITHDRAWAL,"  1,050,000 "
4/3/2024,5725,ATM,WITHDRAWAL,"  750,000 "
4/3/2024,7903,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,5463,ATM,TRANSFER,"  30,000 "
4/3/2024,3183,ATM,WITHDRAWAL,"  50,000 "
4/3/2024,1465,ATM,WITHDRAWAL,"  250,000 "
4/3/2024,8097,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,6513,ATM,WITHDRAWAL,"  1,050,000 "
4/3/2024,3349,ATM,WITHDRAWAL,"  650,000 "
4/3/2024,5725,ATM,WITHDRAWAL,"  300,000 "
4/3/2024,3569,ATM,WITHDRAWAL,"  500,000 "
4/3/2024,4277,ATM,WITHDRAWAL,"  700,000 "
4/3/2024,188,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,6604,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,9410,ATM,WITHDRAWAL,"  200,000 "
4/3/2024,9216,ATM,WITHDRAWAL,"  100,000 "
4/3/2024,3025,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,2846,ATM,WITHDRAWAL,"  350,000 "
4/3/2024,6604,ATM,WITHDRAWAL,"  900,000 "
4/3/2024,5232,ATM,WITHDRAWAL,"  2,500,000 "
4/3/2024,6386,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,65,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,188,ATM,WITHDRAWAL,"  100,000 "
4/3/2024,1047,ATM,WITHDRAWAL,"  1,200,000 "
4/3/2024,7170,ATM,WITHDRAWAL,"  1,100,000 "
4/4/2024,2846,BRANCH,TRANSFER,"  4,111,879 "
4/4/2024,3172,BRANCH,BIAYA,"  250,000 "
4/4/2024,1047,BRANCH,TRANSFER,"  4,628,505 "
4/4/2024,7969,BRANCH,TRANSFER,"  6,228,121 "
4/4/2024,3025,BRANCH,TRANSFER,"  4,073,344 "
4/4/2024,1223,BRANCH,BUNGA,  23 
4/4/2024,6326,BRANCH,BIAYA,"  1,500 "
4/4/2024,779,BRANCH,TRANSFER,"  200,000 "
4/25/2024,6326,DEBIT CARD,PAYMENT,  7 
4/24/2024,6911,DEBIT CARD,PAYMENT,"  1,921 "
4/24/2024,6911,DEBIT CARD,PAYMENT,"  1,036 "
4/24/2024,2759,DEBIT CARD,PAYMENT,  51 
4/25/2024,2759,DEBIT CARD,PAYMENT,  8 
4/1/2024,2237,DEBIT CARD,PAYMENT,"  84,600 "
3/31/2024,5463,DEBIT CARD,PAYMENT,"  56,000 "
3/31/2024,5463,DEBIT CARD,PAYMENT,"  250,000 "
3/31/2024,5463,DEBIT CARD,PAYMENT,"  123,000 "
3/31/2024,5463,DEBIT CARD,PAYMENT,"  512,000 "
4/30/2012,8779,BANCA,NON DIGITAL,"  50,000,000 "
9/19/2022,7163,BANCA,NON DIGITAL,"  100,000,000 "
2/3/2021,8644,BANCA,NON DIGITAL,"  25,000 "
9/28/2011,1223,BANCA,NON DIGITAL,"  8,400,000 "
2/22/2013,8779,BANCA,NON DIGITAL,"  50,000,000 "
12/18/2019,2022,BANCA,NON DIGITAL,"  10,000 "
2/10/2021,5027,BANCA,NON DIGITAL,"  10,000 "
3/17/2021,6604,BANCA,NON DIGITAL,"  150,000,000 "
3/17/2021,6604,BANCA,NON DIGITAL,"  30,000,000 "
3/29/2011,6911,BANCA,NON DIGITAL,"  100,000,000 "
10/31/2012,4799,BANCA,NON DIGITAL,"  100,000,000 "
6/28/2013,2464,BANCA,NON DIGITAL,"  12,000,000 "
3/26/2013,9227,BANCA,NON DIGITAL,"  2,000,000,000 "
4/29/2015,1547,BANCA,NON DIGITAL,"  3,000,000,000 "
12/3/2021,3974,BANCA,NON DIGITAL,"  20,000 "
7/11/2023,2168,BANCA,NON DIGITAL,"  100,000,000 "
5/31/2012,4426,BANCA,NON DIGITAL,"  50,000,000 "
12/22/2020,4251,BANCA,NON DIGITAL,"  100,000,000 "
8/9/2022,2960,BANCA,NON DIGITAL,"  100,000,000 "
5/1/2012,5203,BANCA,NON DIGITAL,"  300,000 "
1/23/2015,9216,BANCA,NON DIGITAL,"  24,374 "
8/31/2017,2960,BANCA,NON DIGITAL,"  500,000,000 "
12/27/2011,1165,BANCA,NON DIGITAL,"  15,362,458 "
5/31/2013,7050,BANCA,NON DIGITAL,"  25,695 "
6/26/2020,7050,BANCA,NON DIGITAL,"  100,000,000 "
8/30/2017,6604,BANCA,NON DIGITAL,"  100,000,000 "
3/28/2018,2759,BANCA,NON DIGITAL,"  100,000,000 "
4/29/2019,7772,BANCA,NON DIGITAL,"  12,500 "
7/29/2016,7669,BANCA,NON DIGITAL,"  300,000,000 "
10/22/2021,326,BANCA,NON DIGITAL,"  20,000 "
2/28/2019,1892,BANCA,NON DIGITAL,"  250,000,000 "
3/2/2018,4426,BANCA,NON DIGITAL,"  50,000,000 "
8/18/2021,4426,BANCA,NON DIGITAL,"  200,000,000 "
4/12/2012,775,BANCA,NON DIGITAL,"  50,000,000 "
9/26/2022,3694,BANCA,NON DIGITAL,"  200,000,000 "
11/16/2022,3694,BANCA,NON DIGITAL,"  100,000,000 "
5/26/2014,5225,BANCA,NON DIGITAL,"  25,000,000 "
2/24/2011,4799,BANCA,NON DIGITAL,"  3,000,000 "
11/19/2014,1047,BANCA,NON DIGITAL,"  500,000,000 "
12/30/2021,1047,BANCA,NON DIGITAL,"  40,000 "
8/2/2017,1892,BANCA,NON DIGITAL,"  100,000,000 "
2/16/2015,1892,BANCA,NON DIGITAL,"  10,000,000 "
6/21/2017,1165,BANCA,NON DIGITAL,"  100,000,000 "
3/8/2018,1165,BANCA,NON DIGITAL,"  200,000,000 "
5/31/2023,4799,BANCA,NON DIGITAL,"  100,000,000 "
12/16/2020,4206,BANCA,NON DIGITAL,"  100,000,000 "
7/19/2016,7027,BANCA,NON DIGITAL,"  100,000,000 "
1/31/2022,1365,BANCA,NON DIGITAL,"  50,000 "
2/9/2011,2960,BANCA,NON DIGITAL,"  1,000,350 "
1/31/2019,4251,BANCA,NON DIGITAL,"  20,000 "
10/14/2022,7669,BANCA,NON DIGITAL,"  25,000,000 "
9/6/2016,5463,BANCA,NON DIGITAL,"  45,000,000 "
11/21/2016,5463,BANCA,NON DIGITAL,"  300,000,000 "
4/28/2017,5463,BANCA,NON DIGITAL,"  25,000,000 "
12/26/2019,5463,BANCA,NON DIGITAL,"  100,000,000 "
4/6/2024,1784,MOBILE BANKING,PAYMENT,"  201,000 "
4/6/2024,9410,MOBILE BANKING,PAYMENT,"  701,000 "
4/6/2024,377,MOBILE BANKING,PAYMENT,"  119,395 "
4/6/2024,1547,MOBILE BANKING,PAYMENT,"  100,000 "
4/6/2024,8644,MOBILE BANKING,PAYMENT,"  4,929,374 "
4/6/2024,305,MOBILE BANKING,PAYMENT,"  98,043 "
4/6/2024,1041,MOBILE BANKING,PAYMENT,"  101,000 "
4/6/2024,2237,MOBILE BANKING,PAYMENT,"  586,572 "
4/6/2024,4206,MOBILE BANKING,PAYMENT,"  96,000 "
4/6/2024,4206,MOBILE BANKING,PAYMENT,"  101,000 "
4/6/2024,4206,MOBILE BANKING,PAYMENT,"  100,000 "
4/6/2024,2306,MOBILE BANKING,PAYMENT,"  101,000 "
4/6/2024,2306,MOBILE BANKING,PAYMENT,"  71,000 "
4/6/2024,837,MOBILE BANKING,PAYMENT,"  147,500 "
4/6/2024,7669,MOBILE BANKING,PAYMENT,"  50,000 "
4/6/2024,1223,MOBILE BANKING,PAYMENT,"  202,000 "
4/6/2024,3105,MOBILE BANKING,PAYMENT,"  601,000 "
4/6/2024,775,MOBILE BANKING,PAYMENT,"  16,500 "
4/7/2024,2146,DEBIT CARD,PAYMENT,"  102,850 "
4/6/2024,2464,DEBIT CARD,PAYMENT,"  1,458,440 "
4/6/2024,9716,DEBIT CARD,PAYMENT,"  485,000 "
4/7/2024,2759,DEBIT CARD,PAYMENT,"  36,300 "
4/6/2024,7550,DEBIT CARD,PAYMENT,"  250,000 "
4/7/2024,7550,DEBIT CARD,PAYMENT,"  46,900 "
4/6/2024,268,DEBIT CARD,PAYMENT,"  349,900 "
4/6/2024,268,DEBIT CARD,PAYMENT,"  1,199,160 "
4/6/2024,268,DEBIT CARD,PAYMENT,"  1,051,050 "
4/6/2024,1465,DEBIT CARD,PAYMENT,"  256,000 "
4/6/2024,8644,DEBIT CARD,PAYMENT,"  117,500 "
4/6/2024,5232,DEBIT CARD,PAYMENT,"  257,426 "
4/6/2024,9216,DEBIT CARD,PAYMENT,"  107,000 "
4/7/2024,8097,DEBIT CARD,PAYMENT,"  235,600 "
4/6/2024,4206,VIRTUAL DEBIT CARD,PAYMENT,  12 
4/7/2024,600,VIRTUAL DEBIT CARD,PAYMENT,"  50,500 "
4/6/2024,5225,VIRTUAL DEBIT CARD,PAYMENT,"  64,500 "
4/7/2024,5225,VIRTUAL DEBIT CARD,PAYMENT,"  65,000 "
4/7/2024,5225,VIRTUAL DEBIT CARD,PAYMENT,"  29,500 "
4/7/2024,5225,VIRTUAL DEBIT CARD,PAYMENT,"  36,000 "
4/7/2024,5225,VIRTUAL DEBIT CARD,PAYMENT,"  62,000 "
4/7/2024,5225,VIRTUAL DEBIT CARD,PAYMENT,"  63,000 "
4/7/2024,5225,VIRTUAL DEBIT CARD,PAYMENT,"  62,500 "
4/6/2024,4857,VIRTUAL DEBIT CARD,PAYMENT,"  15,000 "
4/6/2024,268,VIRTUAL DEBIT CARD,PAYMENT,"  15,000 "
4/7/2024,4277,VIRTUAL DEBIT CARD,PAYMENT,  15 
4/6/2024,3985,DEBIT CARD,PAYMENT,"  1,787,660 "
4/6/2024,2846,DEBIT CARD,PAYMENT,"  65,000 "
4/6/2024,5232,DEBIT CARD,PAYMENT,"  1,301,900 "
4/7/2024,4062,DEBIT CARD,PAYMENT,"  240,400 "
4/23/2024,5463,CREDIT CARD,RETAIL TRANSACTION,"  496,996 "
4/23/2024,4900,CREDIT CARD,RETAIL TRANSACTION,"  239,000 "
4/23/2024,3985,CREDIT CARD,RETAIL TRANSACTION,"  499,000 "
4/22/2024,3985,CREDIT CARD,RETAIL TRANSACTION,"  1,326 "
4/22/2024,3985,CREDIT CARD,RETAIL TRANSACTION,"  1,572 "
4/23/2024,3985,CREDIT CARD,RETAIL TRANSACTION,"  184,000 "
4/23/2024,5027,CREDIT CARD,RETAIL TRANSACTION,"  562,270 "
4/23/2024,4251,CREDIT CARD,RETAIL TRANSACTION,"  250,000 "
4/24/2024,2846,CREDIT CARD,INSTALMENT,"  849,750 "
4/24/2024,280,CREDIT CARD,INSTALMENT,"  176,672 "
4/22/2024,8779,CREDIT CARD,OTHERS,"- 1,480,781 "
4/23/2024,8779,CREDIT CARD,RETAIL TRANSACTION,"  364,000 "
4/23/2024,8779,CREDIT CARD,RETAIL TRANSACTION,"  10,054,500 "
4/23/2024,5027,CREDIT CARD,RETAIL TRANSACTION,"  817,650 "
4/24/2024,3025,CREDIT CARD,INSTALMENT,"  72,359 "
4/24/2024,3025,CREDIT CARD,INSTALMENT,"  1,753,612 "
4/24/2024,3025,CREDIT CARD,INSTALMENT,"  2,448,654 "
4/23/2024,1547,CREDIT CARD,RETAIL TRANSACTION,"  23,500 "
4/23/2024,1547,CREDIT CARD,RETAIL TRANSACTION,"  27,000 "
4/23/2024,2846,CREDIT CARD,RETAIL TRANSACTION,"  234,500 "
4/23/2024,1041,CREDIT CARD,RETAIL TRANSACTION,"  85,293 "
4/22/2024,600,CREDIT CARD,RETAIL TRANSACTION,"  35,600 "
4/22/2024,600,CREDIT CARD,RETAIL TRANSACTION,"  98,000 "
4/23/2024,600,CREDIT CARD,RETAIL TRANSACTION,"  12,800 "
